Date,Open,High,Low,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2024-10-19,67690.27,69057.75,67006.53,68374.01,68860.82,68374.01,3,7,-0.7069,0.0,68465.27,68207.84,-0.1333,0.2436
2024-10-19,67630.2,68996.46,66947.06,68313.33,68860.82,68313.33,2,7,-0.7951,0.0,68583.89,68207.84,-0.3945,0.1547
2024-10-19,67525.77,68889.92,66843.69,68207.84,68860.82,68207.84,1,7,-0.9483,0.0,68583.89,68322.87,-0.5483,-0.1683
2024-10-19,67780.62,69149.92,67095.97,68465.27,68818.86,68207.84,2,6,-0.5138,0.3774,68583.89,68322.87,-0.1729,0.2084
2024-10-19,67707.56,69075.39,67023.64,68391.47,68818.86,68207.84,1,5,-0.621,0.2692,68583.89,68322.87,-0.2806,0.1004
2024-10-19,67639.64,69006.09,66956.41,68322.87,68592.18,68207.84,1,4,-0.3926,0.1686,68583.89,68320.55,-0.3806,0.0034
2024-10-19,67898.05,69269.72,67212.21,68583.89,68583.89,68207.84,7,3,0.0,0.5513,68511.13,68320.55,0.1062,0.3854
2024-10-19,67826.02,69196.24,67140.91,68511.13,68583.89,68207.84,6,2,-0.1061,0.4446,68421.95,68320.55,0.1303,0.2789
2024-10-19,67644.78,69011.34,66961.5,68328.06,68583.89,68207.84,5,1,-0.373,0.1763,68421.95,68320.55,-0.1372,0.011
2024-10-19,67737.73,69106.17,67053.51,68421.95,68583.89,68322.87,4,3,-0.2361,0.145,68396.0,68235.73,0.0379,0.2729
2024-10-19,67637.34,69003.75,66954.14,68320.55,68583.89,68320.55,3,7,-0.384,0.0,68396.0,68135.41,-0.1103,0.2717
2024-10-19,67685.43,69052.81,67001.74,68369.12,68583.89,68320.55,2,6,-0.3131,0.0711,68396.0,68132.87,-0.0393,0.3468
2024-10-19,67712.04,69079.96,67028.08,68396.0,68583.89,68320.55,1,5,-0.274,0.1104,68342.7,68109.51,0.078,0.4206
2024-10-19,67659.27,69026.13,66975.85,68342.7,68511.13,68320.55,1,4,-0.2458,0.0324,68317.18,68109.51,0.0374,0.3424
2024-10-19,67553.37,68918.08,66871.01,68235.73,68421.95,68235.73,2,7,-0.2722,0.0,68317.18,68109.51,-0.1192,0.1853
2024-10-19,67454.06,68816.77,66772.7,68135.41,68421.95,68135.41,1,7,-0.4188,0.0,68317.18,68086.82,-0.2661,0.0714
2024-10-19,67451.54,68814.2,66770.21,68132.87,68396.0,68132.87,3,7,-0.3847,0.0,68317.18,68086.82,-0.2698,0.0676
2024-10-19,67428.41,68790.6,66747.32,68109.51,68396.0,68109.51,2,7,-0.4189,0.0,68317.18,68086.82,-0.304,0.0333
2024-10-19,67634.01,69000.35,66950.84,68317.18,68396.0,68109.51,1,6,-0.1152,0.3049,68180.58,68086.82,0.2003,0.3383
2024-10-19,67480.05,68843.28,66798.43,68161.67,68342.7,68109.51,1,5,-0.2649,0.0766,68274.3,68086.82,-0.165,0.1099
2024-10-19,67405.95,68767.69,66725.08,68086.82,68317.18,68086.82,5,7,-0.3372,0.0,68274.3,68120.16,-0.2746,-0.0489
2024-10-19,67438.96,68801.36,66757.75,68120.16,68317.18,68086.82,4,6,-0.2884,0.049,68292.65,68153.76,-0.2526,-0.0493
2024-10-20,67472.23,68835.3,66790.69,68153.76,68317.18,68086.82,3,5,-0.2392,0.0983,68401.31,68180.58,-0.3619,-0.0393
2024-10-20,67498.77,68862.39,66816.97,68180.58,68317.18,68086.82,2,4,-0.1999,0.1377,68401.31,68227.13,-0.3227,-0.0682
2024-10-20,67591.55,68957.04,66908.81,68274.3,68317.18,68086.82,1,3,-0.0628,0.2754,68401.31,68142.64,-0.1857,0.1932
2024-10-20,67560.99,68925.86,66878.56,68243.43,68274.3,68086.82,6,2,-0.0452,0.23,68401.31,68142.64,-0.2308,0.1479
2024-10-20,67609.72,68975.58,66926.8,68292.65,68292.65,68086.82,7,1,0.0,0.3023,68401.31,68142.64,-0.1589,0.2201
2024-10-20,67717.3,69085.33,67033.29,68401.31,68401.31,68120.16,7,1,0.0,0.4127,68258.06,68142.64,0.2099,0.3796
2024-10-20,67544.86,68909.4,66862.58,68227.13,68401.31,68153.76,6,1,-0.2547,0.1076,68258.06,68142.64,-0.0453,0.124
2024-10-20,67461.21,68824.07,66779.79,68142.64,68401.31,68142.64,5,7,-0.3782,0.0,68362.47,68165.1,-0.3216,-0.0329
2024-10-20,67483.91,68847.22,66802.26,68165.57,68401.31,68142.64,4,6,-0.3446,0.0336,68369.01,68165.1,-0.2976,0.0007
2024-10-20,67500.37,68864.01,66818.55,68182.19,68401.31,68142.64,3,5,-0.3203,0.058,68390.81,68165.1,-0.305,0.0251
2024-10-20,67575.48,68940.64,66892.9,68258.06,68401.31,68142.64,2,4,-0.2094,0.1694,68424.82,68165.1,-0.2437,0.1364
2024-10-20,67483.45,68846.75,66801.8,68165.1,68401.31,68142.64,1,3,-0.3453,0.033,68424.82,68362.47,-0.3796,-0.2887
